BookMakers,Competitions,Date,Time,Team_1,Team_2,W1,Draw,W2
BetCity,World cup 2022,20 ноября,19:00,Катар,Эквадор,3.40,3.10,2.45
BetCity,World cup 2022,21 ноября,16:00,Англия,Иран,1.39,4.60,11.5
BetCity,World cup 2022,21 ноября,19:00,Сенегал,Нидерланды,6.40,3.90,1.64
BetCity,World cup 2022,21 ноября,22:00,США,Уэльс,2.70,3.10,3.00
BetCity,World cup 2022,22 ноября,13:00,Аргентина,Саудовская Аравия,1.21,7.00,18.0
BetCity,World cup 2022,22 ноября,16:00,Дания,Тунис,1.48,4.40,8.20
BetCity,World cup 2022,22 ноября,19:00,Мексика,Польша,2.75,3.20,2.85
BetCity,World cup 2022,22 ноября,22:00,Франция,Австралия,1.27,6.20,13.0
BetCity,World cup 2022,23 ноября,13:00,Марокко,Хорватия,4.70,3.40,1.93
BetCity,World cup 2022,23 ноября,16:00,Германия,Япония,1.52,4.80,6.30
BetCity,World cup 2022,23 ноября,19:00,Испания,Коста-Рика,1.18,7.50,22.0
BetCity,World cup 2022,23 ноября,22:00,Бельгия,Канада,1.49,4.60,7.30
BetCity,World cup 2022,24 ноября,13:00,Швейцария,Камерун,1.73,3.70,5.70
BetCity,World cup 2022,24 ноября,16:00,Уругвай,Южная Корея,1.80,3.60,5.20
BetCity,World cup 2022,24 ноября,19:00,Португалия,Гана,1.42,4.70,9.20
BetCity,World cup 2022,24 ноября,22:00,Бразилия,Сербия,1.43,4.90,8.20
BetCity,World cup 2022,25 ноября,13:00,Уэльс,Иран,2.23,3.20,3.60
BetCity,World cup 2022,25 ноября,16:00,Катар,Сенегал,3.90,3.20,2.14
BetCity,World cup 2022,25 ноября,19:00,Нидерланды,Эквадор,1.60,4.10,6.00
BetCity,World cup 2022,25 ноября,22:00,Англия,США,1.65,3.90,5.80
BetCity,World cup 2022,26 ноября,13:00,Тунис,Австралия,2.80,3.20,2.75
BetCity,World cup 2022,26 ноября,16:00,Польша,Саудовская Аравия,1.67,3.80,5.70
BetCity,World cup 2022,26 ноября,19:00,Франция,Дания,2.05,3.40,3.90
BetCity,World cup 2022,26 ноября,22:00,Аргентина,Мексика,1.60,4.00,6.20
BetCity,World cup 2022,27 ноября,13:00,Япония,Коста-Рика,1.76,3.60,5.20
BetCity,World cup 2022,27 ноября,16:00,Бельгия,Марокко,Матч! Страна,1.56,4.30
BetCity,World cup 2022,27 ноября,19:00,Хорватия,Канада,1.76,3.80,4.90
BetCity,World cup 2022,27 ноября,22:00,Испания,Германия,2.60,3.30,2.85
BetCity,World cup 2022,28 ноября,13:00,Камерун,Сербия,4.90,3.40,1.86
BetCity,World cup 2022,28 ноября,16:00,Южная Корея,Гана,2.65,3.10,3.00
BetCity,World cup 2022,28 ноября,19:00,Бразилия,Швейцария,1.48,4.40,7.50
BetCity,World cup 2022,28 ноября,22:00,Португалия,Уругвай,2.05,3.40,3.90
BetCity,World cup 2022,29 ноября,18:00,Нидерланды,Катар,1.28,6.00,11.5
BetCity,World cup 2022,29 ноября,18:00,Эквадор,Сенегал,2.80,3.20,2.75
BetCity,World cup 2022,29 ноября,22:00,Уэльс,Англия,6.10,3.90,1.62
BetCity,World cup 2022,29 ноября,22:00,Иран,США,3.90,3.40,2.06
BetCity,World cup 2022,30 ноября,18:00,Тунис,Франция,11.0,5.00,1.34
BetCity,World cup 2022,30 ноября,18:00,Австралия,Дания,6.40,4.30,1.54
BetCity,World cup 2022,30 ноября,22:00,Польша,Аргентина,5.50,3.90,1.68
BetCity,World cup 2022,30 ноября,22:00,Саудовская Аравия,Мексика,5.70,3.80,1.67
BetCity,World cup 2022,1 декабря,18:00,Хорватия,Бельгия,3.40,3.60,2.15
BetCity,World cup 2022,1 декабря,18:00,Канада,Марокко,2.90,3.30,2.55
BetCity,World cup 2022,1 декабря,22:00,Япония,Испания,7.20,4.80,1.45
BetCity,World cup 2022,1 декабря,22:00,Коста-Рика,Германия,11.0,5.70,1.30
BetCity,World cup 2022,2 декабря,18:00,Южная Корея,Португалия,6.90,4.30,1.52
BetCity,World cup 2022,2 декабря,18:00,Гана,Уругвай,5.00,3.60,1.79
BetCity,World cup 2022,2 декабря,22:00,Камерун,Бразилия,12.0,5.80,1.28
BetCity,World cup 2022,2 декабря,22:00,Сербия,Швейцария,2.80,3.20,2.75
FonBet,World cup 2022,20 ноября,Группа A,Катар,Эквадор,3.35,3.05,2.35
FonBet,World cup 2022,21 ноября,Группа B,Англия,Иран,1.35,4.50,11.50
FonBet,World cup 2022,21 ноября,Группа A,Сенегал,Нидерланды,6.30,3.80,1.60
FonBet,World cup 2022,21 ноября,Группа B,США,Уэльс,2.65,3.00,2.95
FonBet,World cup 2022,22 ноября,Группа C,Аргентина,Саудовская Аравия,1.19,6.80,18.00
FonBet,World cup 2022,22 ноября,Группа D,Дания,Тунис,1.45,4.15,8.00
FonBet,World cup 2022,22 ноября,Группа C,Мексика,Польша,2.70,3.10,2.80
FonBet,World cup 2022,22 ноября,Группа D,Франция,Австралия,1.25,5.90,12.50
FonBet,World cup 2022,23 ноября,Группа F,Марокко,Хорватия,4.50,3.30,1.90
FonBet,World cup 2022,23 ноября,Группа E,Германия,Япония,1.50,4.40,6.50
FonBet,World cup 2022,23 ноября,Группа E,Испания,Коста-Рика,1.17,7.00,21.00
FonBet,World cup 2022,23 ноября,Группа F,Бельгия,Канада,1.45,4.50,7.10
FonBet,World cup 2022,24 ноября,Группа G,Швейцария,Камерун,1.70,3.50,5.70
FonBet,World cup 2022,24 ноября,Группа H,Уругвай,Южная Корея,1.75,3.45,5.20
FonBet,World cup 2022,24 ноября,Группа H,Португалия,Гана,1.42,4.40,9.00
FonBet,World cup 2022,24 ноября,Группа G,Бразилия,Сербия,1.40,4.70,7.90
FonBet,World cup 2022,25 ноября,Группа B,Уэльс,Иран,2.25,3.05,3.55
FonBet,World cup 2022,25 ноября,Группа A,Катар,Сенегал,3.90,3.25,2.07
FonBet,World cup 2022,25 ноября,Группа A,Нидерланды,Эквадор,1.58,4.05,5.90
FonBet,World cup 2022,25 ноября,Группа B,Англия,США,1.60,3.90,5.90
FonBet,World cup 2022,26 ноября,Группа D,Тунис,Австралия,2.80,3.10,2.75
FonBet,World cup 2022,26 ноября,Группа C,Польша,Саудовская Аравия,1.65,3.75,5.70
FonBet,World cup 2022,26 ноября,Группа D,Франция,Дания,1.98,3.35,4.10
FonBet,World cup 2022,26 ноября,Группа C,Аргентина,Мексика,1.60,3.90,6.20
FonBet,World cup 2022,27 ноября,Группа E,Япония,Коста-Рика,1.75,3.55,5.20
FonBet,World cup 2022,27 ноября,Группа F,Бельгия,Марокко,1.55,4.20,6.20
FonBet,World cup 2022,27 ноября,Группа F,Хорватия,Канада,1.75,3.75,4.90
FonBet,World cup 2022,27 ноября,Группа E,Испания,Германия,2.55,3.40,2.75
FonBet,World cup 2022,28 ноября,Группа G,Камерун,Сербия,4.90,3.45,1.80
FonBet,World cup 2022,28 ноября,Группа H,Южная Корея,Гана,2.70,3.00,2.90
FonBet,World cup 2022,28 ноября,Группа G,Бразилия,Швейцария,1.50,4.20,7.10
FonBet,World cup 2022,28 ноября,Группа H,Португалия,Уругвай,2.05,3.35,3.85
FonBet,World cup 2022,29 ноября,Группа A,Эквадор,Сенегал,2.70,3.25,2.70
FonBet,World cup 2022,29 ноября,Группа A,Нидерланды,Катар,1.30,5.30,10.50
FonBet,World cup 2022,29 ноября,Группа B,Уэльс,Англия,6.10,3.95,1.60
FonBet,World cup 2022,29 ноября,Группа B,Иран,США,3.90,3.35,2.05
FonBet,World cup 2022,30 ноября,Группа D,Австралия,Дания,6.30,4.10,1.55
FonBet,World cup 2022,30 ноября,Группа D,Тунис,Франция,11.00,5.00,1.32
FonBet,World cup 2022,30 ноября,Группа C,Польша,Аргентина,5.30,3.85,1.67
FonBet,World cup 2022,30 ноября,Группа C,Саудовская Аравия,Мексика,5.40,3.70,1.70
FonBet,World cup 2022,1 декабря,Группа F,Канада,Марокко,2.85,3.35,2.50
FonBet,World cup 2022,1 декабря,Группа F,Хорватия,Бельгия,3.45,3.40,2.17
FonBet,World cup 2022,1 декабря,Группа E,Коста-Рика,Германия,12.50,5.60,1.27
FonBet,World cup 2022,1 декабря,Группа E,Япония,Испания,7.00,4.70,1.45
FonBet,World cup 2022,2 декабря,Группа H,Гана,Уругвай,4.90,3.50,1.80
FonBet,World cup 2022,2 декабря,Группа H,Южная Корея,Португалия,6.10,4.40,1.52
FonBet,World cup 2022,2 декабря,Группа G,Камерун,Бразилия,11.50,5.40,1.30
FonBet,World cup 2022,2 декабря,Группа G,Сербия,Швейцария,2.75,3.25,2.70
LeonBet,World cup 2022,20.11,19:00,Катар,Эквадор,0% МАРЖА,3.53,3.27
LeonBet,World cup 2022,21.11,16:00,Англия,Иран,1.34,4.67,11.30
LeonBet,World cup 2022,21.11,19:00,Сенегал,Нидерланды,6.20,3.82,1.60
LeonBet,World cup 2022,21.11,22:00,США,Уэльс,2.66,2.97,2.96
LeonBet,World cup 2022,22.11,13:00,Аргентина,Саудовская Аравия,1.18,7.00,16.70
LeonBet,World cup 2022,22.11,16:00,Дания,Тунис,1.46,4.24,7.80
LeonBet,World cup 2022,22.11,19:00,Мексика,Польша,2.71,3.10,2.80
LeonBet,World cup 2022,22.11,22:00,Франция,Австралия,1.24,6.20,12.30
LeonBet,World cup 2022,23.11,13:00,Марокко,Хорватия,4.41,3.32,1.92
LeonBet,World cup 2022,23.11,16:00,Германия,Япония,1.49,4.36,6.60
LeonBet,World cup 2022,23.11,19:00,Испания,Коста-Рика,1.15,7.40,21.60
LeonBet,World cup 2022,23.11,22:00,Бельгия,Канада,1.45,4.56,7.20
LeonBet,World cup 2022,24.11,13:00,Швейцария,Камерун,1.71,3.49,5.60
LeonBet,World cup 2022,24.11,16:00,Уругвай,Республика Корея,1.77,3.49,5.10
LeonBet,World cup 2022,24.11,19:00,Португалия,Гана,1.41,4.45,8.60
LeonBet,World cup 2022,24.11,22:00,Бразилия,Сербия,1.41,4.66,7.90
LeonBet,World cup 2022,25.11,13:00,Уэльс,Иран,2.27,3.06,3.54
LeonBet,World cup 2022,25.11,16:00,Катар,Сенегал,3.82,3.24,2.09
LeonBet,World cup 2022,25.11,19:00,Нидерланды,Эквадор,1.59,3.99,5.80
LeonBet,World cup 2022,25.11,22:00,Англия,США,1.62,3.92,5.70
LeonBet,World cup 2022,26.11,13:00,Тунис,Австралия,2.78,3.07,2.74
LeonBet,World cup 2022,26.11,16:00,Польша,Саудовская Аравия,1.65,3.73,5.60
LeonBet,World cup 2022,26.11,19:00,Франция,Дания,1.97,3.34,4.11
LeonBet,World cup 2022,26.11,22:00,Аргентина,Мексика,1.60,3.89,6.00
LeonBet,World cup 2022,27.11,13:00,Япония,Коста-Рика,1.75,3.52,5.20
LeonBet,World cup 2022,27.11,16:00,Бельгия,Марокко,1.54,4.21,6.10
LeonBet,World cup 2022,27.11,19:00,Хорватия,Канада,1.75,3.75,4.73
LeonBet,World cup 2022,27.11,22:00,Испания,Германия,2.57,3.37,2.75
LeonBet,World cup 2022,28.11,13:00,Камерун,Сербия,4.78,3.44,1.82
LeonBet,World cup 2022,28.11,16:00,Республика Корея,Гана,2.67,3.03,2.90
LeonBet,World cup 2022,28.11,19:00,Бразилия,Швейцария,1.50,4.17,7.00
LeonBet,World cup 2022,28.11,22:00,Португалия,Уругвай,2.06,3.36,3.76
LeonBet,World cup 2022,29.11,18:00,Нидерланды,Катар,1.32,5.00,10.80
LeonBet,World cup 2022,29.11,18:00,Эквадор,Сенегал,2.70,3.23,2.70
LeonBet,World cup 2022,29.11,22:00,Иран,США,3.87,3.34,2.03
LeonBet,World cup 2022,29.11,22:00,Уэльс,Англия,6.00,3.97,1.58
LeonBet,World cup 2022,30.11,18:00,Австралия,Дания,6.90,3.91,1.54
LeonBet,World cup 2022,30.11,18:00,Тунис,Франция,10.60,5.00,1.32
LeonBet,World cup 2022,30.11,22:00,Польша,Аргентина,5.00,3.94,1.67
LeonBet,World cup 2022,30.11,22:00,Саудовская Аравия,Мексика,5.30,3.65,1.70
LeonBet,World cup 2022,01.12,18:00,Канада,Марокко,2.84,3.39,2.49
LeonBet,World cup 2022,01.12,18:00,Хорватия,Бельгия,3.37,3.45,2.16
LeonBet,World cup 2022,01.12,22:00,Коста-Рика,Германия,13.70,5.50,1.26
LeonBet,World cup 2022,01.12,22:00,Япония,Испания,7.30,4.73,1.43
LeonBet,World cup 2022,02.12,18:00,Гана,Уругвай,4.70,3.55,1.80
LeonBet,World cup 2022,02.12,18:00,Республика Корея,Португалия,6.10,4.39,1.52
LeonBet,World cup 2022,02.12,22:00,Камерун,Бразилия,11.30,5.20,1.30
LeonBet,World cup 2022,02.12,22:00,Сербия,Швейцария,2.73,3.25,2.66
Pari,World cup 2022,20 ноября, 19:00,Катар, Эквадор,3.35,3.05,2.35
Pari,World cup 2022,21 ноября, 16:00,Англия, Иран,1.35,4.50,11.50
Pari,World cup 2022,21 ноября, 19:00,Сенегал, Нидерланды,6.30,3.80,1.60
Pari,World cup 2022,21 ноября, 22:00,США, Уэльс,2.65,3.00,2.95
Pari,World cup 2022,22 ноября, 13:00,Аргентина, Саудовская Аравия,1.19,6.80,18.00
Pari,World cup 2022,22 ноября, 16:00,Дания, Тунис,1.45,4.15,8.00
Pari,World cup 2022,22 ноября, 19:00,Мексика, Польша,2.70,3.10,2.80
Pari,World cup 2022,22 ноября, 22:00,Франция, Австралия,1.25,5.90,12.50
Pari,World cup 2022,23 ноября, 13:00,Марокко, Хорватия,4.50,3.30,1.90
Pari,World cup 2022,23 ноября, 16:00,Германия, Япония,1.50,4.40,6.50
Pari,World cup 2022,23 ноября, 19:00,Испания, Коста-Рика,1.17,7.00,21.00
Pari,World cup 2022,23 ноября, 22:00,Бельгия, Канада,1.45,4.50,7.10
Pari,World cup 2022,24 ноября, 13:00,Швейцария, Камерун,1.70,3.50,5.70
Pari,World cup 2022,24 ноября, 16:00,Уругвай, Южная Корея,1.75,3.45,5.20
Pari,World cup 2022,24 ноября, 19:00,Португалия, Гана,1.42,4.40,9.00
Pari,World cup 2022,24 ноября, 22:00,Бразилия, Сербия,1.40,4.70,7.90
Pari,World cup 2022,25 ноября, 13:00,Уэльс, Иран,2.25,3.05,3.55
Pari,World cup 2022,25 ноября, 16:00,Катар, Сенегал,3.90,3.25,2.07
Pari,World cup 2022,25 ноября, 19:00,Нидерланды, Эквадор,1.58,4.05,5.90
Pari,World cup 2022,25 ноября, 22:00,Англия, США,1.60,3.90,5.90
Pari,World cup 2022,26 ноября, 13:00,Тунис, Австралия,2.80,3.10,2.75
Pari,World cup 2022,26 ноября, 16:00,Польша, Саудовская Аравия,1.65,3.75,5.70
Pari,World cup 2022,26 ноября, 19:00,Франция, Дания,1.98,3.35,4.10
Pari,World cup 2022,26 ноября, 22:00,Аргентина, Мексика,1.60,3.90,6.20
Pari,World cup 2022,27 ноября, 13:00,Япония, Коста-Рика,1.75,3.55,5.20
Pari,World cup 2022,27 ноября, 16:00,Бельгия, Марокко,1.55,4.20,6.20
SportBet,World cup 2022,20.11,17:00,Катар,Эквадор,3.35,3.05,2.35
SportBet,World cup 2022,21.11,14:00,Англия,Иран,1.35,4.5,11.5
SportBet,World cup 2022,21.11,17:00,Сенегал,Нидерланды,6.3,3.8,1.6
SportBet,World cup 2022,21.11,20:00,США,Уэльс,2.65,3,2.95
SportBet,World cup 2022,22.11,11:00,Аргентина,Саудовская Аравия,1.19,6.8,18
SportBet,World cup 2022,22.11,14:00,Дания,Тунис,1.45,4.15,8
SportBet,World cup 2022,22.11,17:00,Мексика,Польша,2.7,3.1,2.8
SportBet,World cup 2022,22.11,20:00,Франция,Австралия,1.25,5.9,12.5
SportBet,World cup 2022,23.11,11:00,Марокко,Хорватия,4.5,3.3,1.9
SportBet,World cup 2022,23.11,14:00,Германия,Япония,1.5,4.4,6.5
SportBet,World cup 2022,23.11,17:00,Испания,Коста-Рика,1.17,7,21
SportBet,World cup 2022,23.11,20:00,Бельгия,Канада,1.45,4.5,7.1
SportBet,World cup 2022,24.11,11:00,Швейцария,Камерун,1.7,3.5,5.7
SportBet,World cup 2022,24.11,14:00,Уругвай,Южная Корея,1.75,3.45,5.2
SportBet,World cup 2022,24.11,17:00,Португалия,Гана,1.42,4.4,9
SportBet,World cup 2022,24.11,20:00,Бразилия,Сербия,1.4,4.7,7.9
SportBet,World cup 2022,25.11,11:00,Уэльс,Иран,2.25,3.05,3.55
SportBet,World cup 2022,25.11,14:00,Катар,Сенегал,3.9,3.25,2.07
SportBet,World cup 2022,25.11,17:00,Нидерланды,Эквадор,1.58,4.05,5.9
SportBet,World cup 2022,25.11,20:00,Англия,США,1.6,3.9,5.9
ZenitBet,World cup 2022, 20/11,19:00,Катар,Эквадор,"3,50"," 3,10"," 2,40"
ZenitBet,World cup 2022, 21/11,16:00,Англия,Иран,"1,38"," 4,80"," 11,0"
ZenitBet,World cup 2022, 21/11,19:00,Сенегал,Нидерланды,"6,30"," 3,90"," 1,64"
ZenitBet,World cup 2022, 21/11,22:00,США,Уэльс,"2,75"," 3,05"," 3,00"
ZenitBet,World cup 2022, 22/11,13:00,Аргентина,Саудовская Аравия,"1,20"," 7,20"," 19,0"
ZenitBet,World cup 2022, 22/11,16:00,Дания,Тунис,"1,47"," 4,40"," 8,50"
ZenitBet,World cup 2022, 22/11,19:00,Мексика,Польша,"2,85"," 3,10"," 2,85"
ZenitBet,World cup 2022, 22/11,22:00,Франция,Австралия,"1,26"," 6,20"," 14,0"
ZenitBet,World cup 2022, 23/11,13:00,Марокко,Хорватия,"4,50"," 3,40"," 1,98"
ZenitBet,World cup 2022, 23/11,16:00,Германия,Япония,"1,53"," 4,70"," 6,40"
ZenitBet,World cup 2022, 23/11,19:00,Испания,Коста-Рика,"1,19"," 7,30"," 21,0"
ZenitBet,World cup 2022, 23/11,22:00,Бельгия,Канада,"1,48"," 4,70"," 7,30"
ZenitBet,World cup 2022, 24/11,13:00,Швейцария,Камерун,"1,72"," 3,60"," 5,90"
ZenitBet,World cup 2022, 24/11,16:00,Уругвай,Южная Корея,"1,82"," 3,45"," 5,35"
ZenitBet,World cup 2022, 24/11,19:00,Португалия,Гана,"1,43"," 4,60"," 9,20"
ZenitBet,World cup 2022, 24/11,22:00,Бразилия,Сербия,"1,43"," 4,90"," 8,30"
ZenitBet,World cup 2022, 25/11,13:00,Уэльс,Иран,"2,30"," 3,20"," 3,60"
ZenitBet,World cup 2022, 25/11,16:00,Катар,Сенегал,"4,00"," 3,30"," 2,12"
ZenitBet,World cup 2022, 25/11,19:00,Нидерланды,Эквадор,"1,62"," 4,30"," 5,80"
ZenitBet,World cup 2022, 25/11,22:00,Англия,США,"1,67"," 4,10"," 5,60"
ZenitBet,World cup 2022, 26/11,13:00,Тунис,Австралия,"2,90"," 3,10"," 2,75"
ZenitBet,World cup 2022, 26/11,16:00,Польша,Саудовская Аравия,"1,67"," 3,90"," 5,80"
ZenitBet,World cup 2022, 26/11,19:00,Франция,Дания,"2,00"," 3,40"," 4,30"
ZenitBet,World cup 2022, 26/11,22:00,Аргентина,Мексика,"1,58"," 4,10"," 6,70"
ZenitBet,World cup 2022, 27/11,13:00,Япония,Коста-Рика,"1,79"," 3,60"," 5,30"
ZenitBet,World cup 2022, 27/11,16:00,Бельгия,Марокко,"1,57"," 4,30"," 6,50"
ZenitBet,World cup 2022, 27/11,19:00,Хорватия,Канада,"1,80"," 3,80"," 4,80"
ZenitBet,World cup 2022, 27/11,22:00,Испания,Германия,"2,65"," 3,40"," 2,80"
ZenitBet,World cup 2022, 28/11,13:00,Камерун,Сербия,"5,10"," 3,60"," 1,82"
ZenitBet,World cup 2022, 28/11,16:00,Южная Корея,Гана,"2,70"," 3,10"," 3,00"
ZenitBet,World cup 2022, 28/11,19:00,Бразилия,Швейцария,"1,52"," 4,40"," 7,10"
ZenitBet,World cup 2022, 28/11,22:00,Португалия,Уругвай,"2,05"," 3,50"," 4,00"
ZenitBet,World cup 2022, 29/11,18:00,Нидерланды,Катар,"1,30"," 5,80"," 12,0"
ZenitBet,World cup 2022, 29/11,18:00,Эквадор,Сенегал,"2,75"," 3,43"," 2,70"
ZenitBet,World cup 2022, 29/11,22:00,Иран,США,"4,00"," 3,40"," 2,08"
ZenitBet,World cup 2022, 29/11,22:00,Уэльс,Англия,"6,50"," 4,00"," 1,62"
ZenitBet,World cup 2022, 30/11,18:00,Австралия,Дания,"6,40"," 4,30"," 1,57"
ZenitBet,World cup 2022, 30/11,18:00,Тунис,Франция,"11,00"," 5,20"," 1,35"
ZenitBet,World cup 2022, 30/11,22:00,Польша,Аргентина,"5,50"," 3,90"," 1,70"
ZenitBet,World cup 2022, 30/11,22:00,Саудовская Аравия,Мексика,"5,70"," 3,80"," 1,70"
ZenitBet,World cup 2022, 01/12,18:00,Канада,Марокко,"2,90"," 3,40"," 2,60"
ZenitBet,World cup 2022, 01/12,18:00,Хорватия,Бельгия,"3,50"," 3,40"," 2,25"
ZenitBet,World cup 2022, 01/12,22:00,Коста-Рика,Германия,"13,00"," 5,80"," 1,29"
ZenitBet,World cup 2022, 01/12,22:00,Япония,Испания,"7,50"," 4,70"," 1,47"
ZenitBet,World cup 2022, 02/12,18:00,Гана,Уругвай,"5,10"," 3,60"," 1,82"
ZenitBet,World cup 2022, 02/12,18:00,Южная Корея,Португалия,"7,20"," 4,40"," 1,52"
ZenitBet,World cup 2022, 02/12,22:00,Камерун,Бразилия,"12,00"," 5,30"," 1,33"
ZenitBet,World cup 2022, 02/12,22:00,Сербия,Швейцария,"2,85"," 3,30"," 2,70"
