Bookmakers,Competitions,Date_match,Team_1,Team_2,W1,Draw,W2,Marginal_
tennisi,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,68","3,3","2,08","5,5538664"
melbet,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,7","3,3","2,08","5,4069804"
fonbet,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,75","3,3","2,1","4,5887446"
pari,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,8","3,3","2,1","4,2378674"
betboom,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,95","3,3","2,1","3,2385336"
pinup,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,99","3,33","2,12","2,2624980"
zenit,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,8","3,4","2,12","2,8973655"
1xstavka,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,8","3,38","2,136","2,7180677"
goldenbet,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,38","3,22","2,14","7,3706714"
betcity,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,9","3,3","2,14","2,6730279"
leon,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,71","3,29","2,1","4,9683623"
mostbet,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,8","3,3","2,1","4,2378674"
marathonbet,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,9","3,48","2,18","0,2482175"
winline,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,45","3,3","2,19","4,9506380"
olimpbet,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,53","3,33","2,22","3,4036870"
ligastavok,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,45","3,3","2,25","3,7329820"
baltbet,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,6","3,25","2,15","5,0586365"